"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-389357","CD28 dependent PI3K/Akt signaling","5/763","24/7483",0.208333333333333,2.04319571865443,1.72471602141653,0.0904890656049254,0.999995710105417,0.999995710105417,"AKT3/PIK3R1/THEM4/CD28/LCK",5
"R-HSA-73893","DNA Damage Bypass","8/763","46/7483",0.173913043478261,1.70562425209414,1.6174840561209,0.0910173614987943,0.999995710105417,0.999995710105417,"RFC2/UFD1/MAD2L2/REV1/CUL4A/POLH/POLD4/POLE",8
"R-HSA-399956","CRMPs in Sema3A signaling","3/763","11/7483",0.272727272727273,2.67472894078399,1.87287555284554,0.0936504130555197,0.999995710105417,0.999995710105417,"PLXNA1/PLXNA3/PLXNA4",3
"R-HSA-418885","DCC mediated attractive signaling","3/763","11/7483",0.272727272727273,2.67472894078399,1.87287555284554,0.0936504130555197,0.999995710105417,0.999995710105417,"TRIO/CDC42/ABLIM1",3
"R-HSA-5635838","Activation of SMO","3/763","11/7483",0.272727272727273,2.67472894078399,1.87287555284554,0.0936504130555197,0.999995710105417,0.999995710105417,"KIF3A/ARRB1/PTCH1",3
"R-HSA-9857377","Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy","3/763","11/7483",0.272727272727273,2.67472894078399,1.87287555284554,0.0936504130555197,0.999995710105417,0.999995710105417,"ATP6V1H/ATP6V0E1/ATP6V1E1",3
"R-HSA-9856651","MITF-M-dependent gene expression","12/763","78/7483",0.153846153846154,1.50882145377558,1.5220771589639,0.095764460633777,0.999995710105417,0.999995710105417,"ATP6V1H/TNRC6C/TCF7/TNRC6A/LIG1/ATP6V0E1/ATP6V1E1/SYTL2/LEF1/USF1/BCL2/PMEL",12
"R-HSA-1489509","DAG and IP3 signaling","6/763","32/7483",0.1875,1.83887614678899,1.60233027090578,0.100991783439002,0.999995710105417,0.999995710105417,"ITPR3/PLCG1/PRKACB/CALM2/CAMK4/PRKCA",6
"R-HSA-174417","Telomere C-strand (Lagging Strand) Synthesis","6/763","32/7483",0.1875,1.83887614678899,1.60233027090578,0.100991783439002,0.999995710105417,0.999995710105417,"RFC2/TINF2/LIG1/WRN/POLD4/CTC1",6
"R-HSA-8953750","Transcriptional Regulation by E2F6","6/763","32/7483",0.1875,1.83887614678899,1.60233027090578,0.100991783439002,0.999995710105417,0.999995710105417,"CBX5/PHC1/TFDP2/MAX/RBBP4/MGA",6
"R-HSA-9013407","RHOH GTPase cycle","6/763","32/7483",0.1875,1.83887614678899,1.60233027090578,0.100991783439002,0.999995710105417,0.999995710105417,"SLC4A7/TMEM59/MTR/RHOH/RALGAPA1/LCK",6
"R-HSA-9615017","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","4/763","18/7483",0.222222222222222,2.17940876656473,1.68799899016048,0.103531125277068,0.999995710105417,0.999995710105417,"FOXO1/FBXO32/SMAD3/PLXNA4",4
"R-HSA-9912633","Antigen processing: Ub, ATP-independent proteasomal degradation","4/763","18/7483",0.222222222222222,2.17940876656473,1.68799899016048,0.103531125277068,0.999995710105417,0.999995710105417,"PSME1/PSMB8/PSMB10/PSMB9",4
"R-HSA-110373","Resolution of AP sites via the multiple-nucleotide patch replacement pathway","5/763","25/7483",0.2,1.96146788990826,1.62248273419984,0.104101017334631,0.999995710105417,0.999995710105417,"RFC2/LIG1/ADPRS/POLD4/POLE",5
"R-HSA-6794361","Neurexins and neuroligins","5/763","25/7483",0.2,1.96146788990826,1.62248273419984,0.104101017334631,0.999995710105417,0.999995710105417,"HOMER3/DLG3/DLG4/CASK/NLGN2",5
"R-HSA-176033","Interactions of Vpr with host cellular proteins","6/763","33/7483",0.181818181818182,1.78315262718932,1.5191887200562,0.11338093234916,0.999995710105417,0.999995710105417,"NUP160/NDC1/NUP155/NUP205/PSIP1/POM121",6
"R-HSA-180910","Vpr-mediated nuclear import of PICs","6/763","33/7483",0.181818181818182,1.78315262718932,1.5191887200562,0.11338093234916,0.999995710105417,0.999995710105417,"NUP160/NDC1/NUP155/NUP205/PSIP1/POM121",6
"R-HSA-5663213","RHO GTPases Activate WASPs and WAVEs","6/763","33/7483",0.181818181818182,1.78315262718932,1.5191887200562,0.11338093234916,0.999995710105417,0.999995710105417,"BTK/CDC42/ARPC3/ARPC1B/ABI2/ARPC1A",6
"R-HSA-399955","SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion","3/763","12/7483",0.25,2.45183486238532,1.69591843058459,0.115788814010745,0.999995710105417,0.999995710105417,"PLXNA1/PLXNA3/PLXNA4",3
"R-HSA-4641265","Repression of WNT target genes","3/763","12/7483",0.25,2.45183486238532,1.69591843058459,0.115788814010745,0.999995710105417,0.999995710105417,"TLE2/TCF7/LEF1",3
"R-HSA-5099900","WNT5A-dependent internalization of FZD4","3/763","12/7483",0.25,2.45183486238532,1.69591843058459,0.115788814010745,0.999995710105417,0.999995710105417,"AP2S1/CLTA/PRKCA",3
"R-HSA-9620244","Long-term potentiation","3/763","12/7483",0.25,2.45183486238532,1.69591843058459,0.115788814010745,0.999995710105417,0.999995710105417,"DLG3/DLG4/CALM2",3
"R-HSA-9725554","Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin","3/763","12/7483",0.25,2.45183486238532,1.69591843058459,0.115788814010745,0.999995710105417,0.999995710105417,"ITGA6/LRIG1/AQP3",3
"R-HSA-9931521","The CRY:PER:kinase complex represses transactivation by the BMAL:CLOCK (ARNTL:CLOCK) complex","3/763","12/7483",0.25,2.45183486238532,1.69591843058459,0.115788814010745,0.999995710105417,0.999995710105417,"CRY1/KMT2A/CRY2",3
"R-HSA-9734779","Developmental Cell Lineages of the Integumentary System","5/763","26/7483",0.192307692307692,1.88602681721948,1.52488802400798,0.11865874323284,0.999995710105417,0.999995710105417,"ITGA6/ACTA2/MFGE8/LRIG1/AQP3",5
"R-HSA-2980766","Nuclear Envelope Breakdown","8/763","49/7483",0.163265306122449,1.60119827747613,1.42262675992225,0.120803876044912,0.999995710105417,0.999995710105417,"NUP160/NDC1/NUP155/NEK9/PRKCA/NUP205/LEMD2/POM121",8
"R-HSA-9907900","Proteasome assembly","8/763","49/7483",0.163265306122449,1.60119827747613,1.42262675992225,0.120803876044912,0.999995710105417,0.999995710105417,"PSME1/PSMC1/POMP/PSMD4/PSMD13/PSMB8/PSMB10/PSMB9",8
"R-HSA-174414","Processive synthesis on the C-strand of the telomere","4/763","19/7483",0.210526315789474,2.06470304200869,1.56569067285122,0.121094570665485,0.999995710105417,0.999995710105417,"TINF2/LIG1/WRN/POLD4",4
"R-HSA-201451","Signaling by BMP","4/763","19/7483",0.210526315789474,2.06470304200869,1.56569067285122,0.121094570665485,0.999995710105417,0.999995710105417,"TGFBR3/BMPR1A/SMAD9/NOG",4
"R-HSA-418360","Platelet calcium homeostasis","4/763","19/7483",0.210526315789474,2.06470304200869,1.56569067285122,0.121094570665485,0.999995710105417,0.999995710105417,"ITPR3/P2RX1/CALM2/ATP2A2",4
"R-HSA-442742","CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling","4/763","19/7483",0.210526315789474,2.06470304200869,1.56569067285122,0.121094570665485,0.999995710105417,0.999995710105417,"DLG3/RASGRF2/DLG4/CALM2",4
"R-HSA-199992","trans-Golgi Network Vesicle Budding","10/763","65/7483",0.153846153846154,1.50882145377558,1.38824194639004,0.121216350071395,0.999995710105417,0.999995710105417,"DTNBP1/AP4S1/CTSZ/STX4/NAPA/DNASE2/CLTA/AP1M2/ARRB1/SNAPIN",10
"R-HSA-3301854","Nuclear Pore Complex (NPC) Disassembly","6/763","34/7483",0.176470588235294,1.73070696168376,1.43886550416338,0.12649876039632,0.999995710105417,0.999995710105417,"NUP160/NDC1/NUP155/NEK9/NUP205/POM121",6
"R-HSA-9909649","Regulation of PD-L1(CD274) transcription","8/763","50/7483",0.16,1.56917431192661,1.36061329835098,0.131754000646398,0.999995710105417,0.999995710105417,"TCF7/KMT2A/ASH2L/H3-3B/MYC/LEF1/RBBP4/H2BC12",8
"R-HSA-3299685","Detoxification of Reactive Oxygen Species","5/763","27/7483",0.185185185185185,1.81617397213727,1.43152243179156,0.134114491648573,0.999995710105417,0.999995710105417,"CYBA/TXN/NCF1/ATOX1/GPX1",5
"R-HSA-5260271","Diseases of Immune System","5/763","27/7483",0.185185185185185,1.81617397213727,1.43152243179156,0.134114491648573,0.999995710105417,0.999995710105417,"BTK/S100A8/LY96/S100A9/CD14",5
"R-HSA-5602358","Diseases associated with the TLR signaling cascade","5/763","27/7483",0.185185185185185,1.81617397213727,1.43152243179156,0.134114491648573,0.999995710105417,0.999995710105417,"BTK/S100A8/LY96/S100A9/CD14",5
"R-HSA-9615933","Postmitotic nuclear pore complex (NPC) reformation","5/763","27/7483",0.185185185185185,1.81617397213727,1.43152243179156,0.134114491648573,0.999995710105417,0.999995710105417,"NUP160/NDC1/NUP155/NUP205/POM121",5
"R-HSA-5607763","CLEC7A (Dectin-1) induces NFAT activation","3/763","13/7483",0.230769230769231,2.26323218066337,1.53596401259232,0.139652416014844,0.999995710105417,0.999995710105417,"ITPR3/NFATC2/CALM2",3
"R-HSA-9686114","Non-canonical inflammasome activation","3/763","13/7483",0.230769230769231,2.26323218066337,1.53596401259232,0.139652416014844,0.999995710105417,0.999995710105417,"SERPINB1/GSDMD/CALM2",3
