"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","8/546","62/5433",0.129032258064516,1.28394186458703,0.751541091100734,0.281522265633876,0.999985169649174,0.97991276305119,"637/7155/10000/5295/9446/472/5429/596",8
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","4/546","27/5433",0.148148148148148,1.47415547415547,0.825504913837373,0.284974032532725,0.999985169649174,0.97991276305119,"6390/6391/1737/8801",4
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","4/546","27/5433",0.148148148148148,1.47415547415547,0.825504913837373,0.284974032532725,0.999985169649174,0.97991276305119,"637/5601/27429/596",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","20/546","173/5433",0.115606936416185,1.15035253763577,0.671731902106805,0.285786344491337,0.999985169649174,0.97991276305119,"51474/5601/998/9620/6932/6324/10094/2185/10095/22800/10152/51176/1952/7476/6259/8642/147138/8313/51466/10552",20
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","6/546","45/5433",0.133333333333333,1.32673992673993,0.735613520915431,0.29583860886844,0.999985169649174,0.97991276305119,"3710/432/5567/5578/433/2876",6
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","18/546","156/5433",0.115384615384615,1.14814032121724,0.627475923720555,0.302253164925145,0.999985169649174,0.97991276305119,"998/3655/10627/8874/28984/3984/10094/10000/103910/10095/22800/10152/5295/1073/80310/7114/4636/10552",18
"Organismal Systems","Sensory system","hsa04744","Phototransduction","2/546","11/5433",0.181818181818182,1.80919080919081,0.897888811367584,0.304762836327633,0.999985169649174,0.97991276305119,"9187/805",2
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","14/546","119/5433",0.117647058823529,1.17065287653523,0.629116899257082,0.306707293789161,0.999985169649174,0.97991276305119,"5601/998/4773/8874/3984/10094/10000/2185/5335/10095/5295/3932/27040/10552",14
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","4/546","28/5433",0.142857142857143,1.42150706436421,0.747379285509425,0.308509261504319,0.999985169649174,0.97991276305119,"23098/683/55191/51547",4
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","4/546","28/5433",0.142857142857143,1.42150706436421,0.747379285509425,0.308509261504319,0.999985169649174,0.97991276305119,"706/10577/4864/26119",4
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","7/546","55/5433",0.127272727272727,1.26643356643357,0.66376586803427,0.313573087169039,0.999985169649174,0.97991276305119,"695/5601/10000/5335/5295/5578/27040",7
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","15/546","130/5433",0.115384615384615,1.14814032121724,0.571398606721449,0.324806867240501,0.999985169649174,0.97991276305119,"7185/4616/4297/4149/64919/10912/3021/4609/472/2308/929/171558/4300/1649/4094",15
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","8/546","66/5433",0.121212121212121,1.20612720612721,0.563114252356389,0.343214848893838,0.999985169649174,0.97991276305119,"5601/998/4216/3710/2185/5567/805/5578",8
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","6/546","48/5433",0.125,1.24381868131868,0.567087109507717,0.351091118416816,0.999985169649174,0.97991276305119,"4616/1021/10000/10912/5295/80310",6
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","9/546","76/5433",0.118421052631579,1.17835454019665,0.523341499769555,0.353691344765395,0.999985169649174,0.97991276305119,"695/4773/10000/5295/4794/3636/8519/353514/84433",9
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","3/546","21/5433",0.142857142857143,1.42150706436421,0.646830728729008,0.354572571983656,0.999985169649174,0.97991276305119,"5982/3978/57804",3
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","4/546","30/5433",0.133333333333333,1.32673992673993,0.599791605758124,0.3560250366225,0.999985169649174,0.97991276305119,"10000/50486/5567/5295",4
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","11/546","95/5433",0.115789473684211,1.15216888374783,0.50009602801899,0.356699979478339,0.999985169649174,0.97991276305119,"23279/55706/3843/30000/9631/1434/10284/23165/80145/9883/55705",11
