ID_REF	Probe Name	miRNA_ID	Accession	Class Name	HC1	HC2	HC3	HC4	LTB1	LTB2	LTB3	LTB4	LTB5	LTB6	DS-TB1	DS-TB2	DS-TB3	DS-TB4	DS-TB5	DS-TB6	DR-TB1	DR-TB2	DR-TB3	DR-TB4		
hsa-miR-1285-3p	hsa-miR-1285-3p	hsa-miR-1285-3p	MIMAT0005876	Endogenous1	20.11	11.5	26.06	23.52	33.39	16.72	20.31	12.8	20.86	17.01	20.96	17.75	7.75	26.75	15.22	12.43	20.51	23	9.81	15.05		
hsa-miR-1285-5p	hsa-miR-1285-5p	hsa-miR-1285-5p	MIMAT0022719	Endogenous1	60.34	29.14	33.29	53.58	59.47	65.49	35.54	34.84	51.6	50.08	37.5	44.38	39.74	66.08	46.51	21.2	45.85	48.87	27.24	46.53		
hsa-miR-1286	hsa-miR-1286	hsa-miR-1286	MIMAT0005877	Endogenous1	34.87	23.77	26.06	39.21	35.47	40.41	20.31	12.8	30.74	28.35	17.65	26.63	22.29	36.19	18.61	16.08	18.1	25.87	15.26	34.21		
hsa-miR-1287-3p	hsa-miR-1287-3p	hsa-miR-1287-3p	MIMAT0026738	Endogenous1	26.82	23.77	14.48	26.14	14.61	18.11	18.61	17.06	36.23	22.68	14.34	22.82	6.79	22.03	12.69	16.08	20.51	18.69	13.08	13.68		
hsa-miR-1287-5p	hsa-miR-1287-5p	hsa-miR-1287-5p	MIMAT0005878	Endogenous1	50.96	34.51	17.37	16.99	21.91	29.26	23.69	22.75	39.53	40.63	20.96	21.55	20.36	51.92	41.44	25.59	20.51	21.56	17.44	31.47		
hsa-miR-1288-3p	hsa-miR-1288-3p	hsa-miR-1288-3p	MIMAT0005942	Endogenous1	25.48	16.87	13.03	22.22	19.82	19.51	5.08	9.24	24.16	19.84	15.44	12.68	7.75	12.59	14.38	9.5	9.65	17.25	7.63	23.26		
hsa-miR-1289	hsa-miR-1289	hsa-miR-1289	MIMAT0005879	Endogenous1	22.8	23.01	18.82	26.14	31.3	25.08	16.92	10.67	25.25	29.29	20.96	16.48	8.72	22.03	27.91	13.16	13.27	23	10.9	28.74		
hsa-miR-129-2-3p	hsa-miR-129-2-3p	hsa-miR-129-2-3p	MIMAT0004605	Endogenous1	53.64	26.07	23.16	30.06	39.65	37.62	35.54	23.46	42.82	50.08	19.85	36.77	18.42	37.76	46.51	20.47	22.92	23	18.53	26		
hsa-miR-129-5p	hsa-miR-129-5p	hsa-miR-129-5p	MIMAT0000242	Endogenous1	18.77	19.94	23.16	13.07	16.69	19.51	6.77	12.09	23.06	19.84	18.75	20.29	7.75	26.75	13.53	6.58	21.72	18.69	5.45	10.95		
hsa-miR-1290	hsa-miR-1290	hsa-miR-1290	MIMAT0005880	Endogenous1	85.82	36.81	47.77	41.82	39.65	45.98	52.46	36.26	64.78	63.31	29.78	40.57	23.26	80.24	30.45	24.12	25.34	47.44	33.78	60.21		
