"miRNA","logFC","P.Value","adj.P.Val","AveExpr","t"
"hsa-miR-365a-3p+hsa-miR-365b-3p",-0.477794399853858,0.100513420813802,0.611921338001418,5.72964023244926,-1.7055494691206
"hsa-miR-365b-5p",-0.718790705839628,0.033845526913402,0.609467853313963,4.07715181453748,-2.2454288619464
"hsa-miR-367-3p",-0.292837808930217,0.471134727076203,0.747932221492791,4.43366510201117,-0.731757382487774
"hsa-miR-369-3p",-0.352438858323518,0.305370079719169,0.689230651528105,4.69944126101143,-1.04648534654997
"hsa-miR-369-5p",-0.118002465594166,0.741625173024233,0.884629130154466,4.26642986229564,-0.333390522727986
"hsa-miR-3690",-0.612769902651308,0.107868170511437,0.611921338001418,4.45365161875941,-1.66775998834991
"hsa-miR-370-3p",-0.18216716795644,0.622862238225557,0.813492743214393,4.725616904708,-0.497975826075333
"hsa-miR-370-5p",-0.924855925566734,0.0143623696231321,0.57305854796297,3.92154069538073,-2.6316218765894
"hsa-miR-371a-5p",-0.429545965622298,0.288162470725479,0.67298949427749,5.0591977927677,-1.08530490799954
"hsa-miR-371b-5p",-0.690774703093241,0.0764510342212953,0.609467853313963,4.70072627486131,-1.84826811696577
"hsa-miR-372-3p",-0.291328054528869,0.445536368825643,0.736103565885845,4.47555847190493,-0.775149665816737
"hsa-miR-373-3p",-0.259034208944922,0.447451118144457,0.737739653469581,4.38959857340251,-0.771853149700537
"hsa-miR-374a-3p",-0.258276864541848,0.482479860626534,0.754264234839622,4.62711130705654,-0.712970337783551
"hsa-miR-374a-5p",-0.416591621040245,0.264963867046543,0.670158901343609,10.0071945640387,-1.14036392969824
"hsa-miR-374b-5p",-0.263381433075287,0.507213416029952,0.763691143380947,6.44803691030361,-0.672872512270322
"hsa-miR-374c-5p",-0.471290977219341,0.22502704845488,0.643625751494604,4.15743413167874,-1.24409330468831
"hsa-miR-375",0.0200080396911608,0.958753543611063,0.994023047266888,3.89453854857781,0.0522399261519318
"hsa-miR-376a-2-5p",-0.731953533815443,0.096102193478725,0.611921338001418,4.47991199410482,-1.72935081707029
"hsa-miR-376a-3p",-0.309727255135519,0.327612464380598,0.695016846512226,5.19624869630116,-0.998522676600872
"hsa-miR-376b-3p",-0.0764995855695236,0.829923998931193,0.930486982701656,4.41387455542092,-0.217063645028517
"hsa-miR-376c-3p",-0.597917962122629,0.0614888695793344,0.609467853313963,4.29925000622546,-1.95810930179519
"hsa-miR-376c-5p",-0.629471654592607,0.138913805952908,0.611921338001418,4.19616362688271,-1.52872224665954
"hsa-miR-377-3p",-0.395625520154615,0.194115416285687,0.630695505869534,5.20777750211039,-1.33442840782366
"hsa-miR-378b",-1.07510435795562,0.00207546356652381,0.57305854796297,4.53478583178645,-3.4361570115832
"hsa-miR-378c",-0.134322438864486,0.72717403258409,0.87788937670515,3.92179027364134,-0.352837181821339
"hsa-miR-378d",-0.403859829656902,0.292916890660948,0.679499066126269,4.71992924415316,-1.07441804208702
"hsa-miR-378e",0.00303359703917594,0.988987710642594,0.994023047266888,1.14324629527076,0.0139412833337171
"hsa-miR-378f",-0.416142030785572,0.230349929153365,0.649537962771678,5.31157517718265,-1.22950996688767
"hsa-miR-378g",0.0589671248515735,0.815853358230421,0.922168526725037,6.18942402623898,0.235356246106319
"hsa-miR-378h",-0.0923202828547174,0.747083788544192,0.887493383060379,4.65902387393483,-0.326079196214003
"hsa-miR-378i",-0.122422240734247,0.634100742415675,0.819898187055973,6.35532138383389,-0.48186666967699
"hsa-miR-379-5p",-0.160032234223205,0.59141864662817,0.802575272355305,5.48663988716161,-0.54378112659869
"hsa-miR-380-3p",-0.171804055468324,0.604136529565846,0.807539280726207,4.94867983662112,-0.525118425777703
"hsa-miR-381-3p",-0.546286394112928,0.158016749273066,0.611921338001418,4.52879452115401,-1.45543635362638
"hsa-miR-381-5p",-0.0502061144939496,0.900386282379197,0.965845989540118,4.78561028920013,-0.126453809718172
"hsa-miR-382-3p",0.157472189663995,0.680270800712984,0.854891494439308,4.48974707467824,0.416963747619119
"hsa-miR-382-5p",-0.359827354489758,0.277605483806037,0.670158901343609,4.5842970385246,-1.10994729990536
"hsa-miR-383-5p",-0.141056637808417,0.723051337537944,0.876195326706983,3.91371249076942,-0.358410104230978
