"","HC1","HC2","HC3","HC4","LTB1","LTB2","LTB3","LTB4","LTB5","LTB6","DS-TB1","DS-TB2","DS-TB3","DS-TB4","DS-TB5","DS-TB6","DR-TB1","DR-TB2","DR-TB3","DR-TB4"
"hsa-miR-575",5.73606362787181,5.11852584893567,5.8801957289431,5.5465858290081,5.96716860753263,5.55397480823747,5.25663329505992,4.43429461795993,5.4535175792155,5.56376827845203,5.09127669436522,5.18982455888002,4.91073266190291,5.96254902292306,5.31831684133498,4.60821785302146,5.26303440583379,5.55458885167764,5.07424852334703,5.44028782084042
"hsa-miR-576-3p",4.79805051476751,4.33413917883824,4.67863534782274,4.69097573834328,4.81403764753998,4.54163873443614,4.81147103052984,3.71039319217052,5.17512534965772,4.56559717585422,4.03913839390696,3.90207357931074,4.04526821513853,4.87381319835909,4.89481776330794,3.6667565918848,4.42693561964834,4.07124781946144,3.10936055940423,4.89433274227769
"hsa-miR-576-5p",5.21761848535105,4.58556349845569,4.67863534782274,2.9126498648972,4.81403764753998,4.91934008244201,4.97544676564096,4.1168637576909,4.93734439215023,4.50652577904312,4.52732060787705,4.41210404467757,3.65878273401283,5.27649666564036,4.62527048937469,3.96532254836725,4.42693561964834,4.82323984413102,4.20476675065461,4.51664555778096
"hsa-miR-577",5.49984588708321,5.08618931310448,5.51947900230724,5.12845838414693,4.91695427895322,5.46564802598228,5.31903981556254,4.52606881166759,5.5579614268932,5.20593983247088,4.59454854955035,5.89044669267991,4.95652136333312,5.99842118872913,5.05050169744673,4.26903314645524,5.16952419715,4.96301164759943,4.762880292917,4.82629424549963
"hsa-miR-578",4.39985467357243,4.22032995487956,4.50525580093216,3.81455042346181,4.14486214291573,4.02945288578697,3.47897180503294,4.17472598770613,4.83035674741922,4.44559429134118,4.03913839390696,5.03121873061072,3.65878273401283,4.94906796585291,4.76659516172927,3.6667565918848,3.95233356636969,3.8011586560937,4.0232553523003,4.23189316164533
"hsa-miR-579-3p",1.22650852980868,1,1.29278174922785,1.20789285164133,1.02856915219677,1.25701061820602,1.4276061727819,1,1.0703893278914,1,1.0703893278914,1.18269229751619,1,1.36176835941915,1,1,1.14404636961671,1.28688114778816,1.06350294230616,1.24488705912353
"hsa-miR-579-5p",5.36562255611334,4.87627136055013,5.09971599916091,4.06004738366994,4.75915583380027,5.27127625917593,4.89578731646331,4.38612115681485,5.34091827027212,5.16832111573972,4.65935375917005,4.64904056563445,4.54163873443614,5.49345520092618,4.93545974780529,4.47248777146274,4.84549005094437,4.82323984413102,4.28762004411207,4.60050764534579
"hsa-miR-580-3p",3.97727992349992,3.11603199344711,4.19927972133662,3.51727569320958,4.30597052098439,4.62585493136806,3.24184018356467,3.1407786557828,4.58856473740135,4.01077983875324,3.29572302453997,4.01881218574282,3.54349588342577,3.92219784839637,3.24184018356467,3.17632277264046,4.06004738366994,3.8011586560937,4.0232553523003,3.87578006306849
"hsa-miR-582-3p",5.05224198118114,4.48992821940518,5.21684284283726,4.95698592461258,4.91695427895322,4.98413359454098,4.02059109477325,4.43429461795993,4.58856473740135,4.24412594328373,4.3037807481771,4.64904056563445,3.95791459863299,5.15421053058834,4.93545974780529,3.6667565918848,3.95233356636969,4.66902676550963,4.20476675065461,4.51664555778096
"hsa-miR-582-5p",6.86207938692946,8.36619105418928,7.58556349845569,6.31124879044183,7.09423606984577,7.41768376875542,6.74966834090396,8.3390037298551,7.5090623863619,7.78286719774698,7.54997714277182,7.65341835272671,6.62789861587175,7.37677657188298,6.50207595604579,6.38560359805024,6.71094415457587,7.30085587126876,7.00573681681316,6.22670118455169
