"Gene","Degree","Betweenness","Closeness","Eigenvector"
"POLR1E",2,0,0.282850779510022,0.00134606161140171
"ACACB",2,0.00728770595690748,0.293981481481481,0.00127085799005122
"FRMD3",2,0.000179960452474228,0.293981481481481,0.00121760038344339
"SEPTIN4",2,0.000200761475347735,0.284434490481523,0.00101310391453974
"NASP",2,0,0.282850779510022,0.000928646417594775
"SDC3",2,0.000380321660135003,0.279735682819383,0.000840118798826444
"ERP44",2,0.00728770595690748,0.274002157497303,0.000678410914174582
"WSB2",2,0.00728770595690748,0.23217550274223,0.000161835174144906
"PANK2",2,0.000332421370689493,0.241904761904762,0.000121904176706517
"CSNK1E",2,0.00140893008101033,0.234750462107209,3.68437556726348e-05
"GORASP1",2,0.00728770595690748,0.18955223880597,6.66919615700134e-07
"IL27",1,0,0.364942528735632,0.0181565350601928
"KCND1",1,0,0.328589909443726,0.0164848699689356
"ZCCHC2",1,0,0.318695106649937,0.0156636284983488
"VAMP5",1,0,0.320707070707071,0.0133910300147207
"SLC26A11",1,0,0.296037296037296,0.00830563277899767
"TTC22",1,0,0.271367521367521,0.00604845346406171
"MYOF",1,0,0.296382730455076,0.00543887551171698
"MR1",1,0,0.307506053268765,0.00466884928141986
"CREG1",1,0,0.290617848970252,0.0046537828742672
"PATL1",1,0,0.2847533632287,0.00453513943470027
"ZNF395",1,0,0.290285714285714,0.00389737862210569
"APOL4",1,0,0.288636363636364,0.0037046266415118
"TUBGCP6",1,0,0.267650158061117,0.00171949446108012
"CYB561",1,0,0.300947867298578,0.00143852976532395
"P2RY14",1,0,0.289293849658314,0.00114584057590313
"SAT1",1,0,0.276387377584331,0.000726724150371888
"RMI2",1,0,0.271657754010695,0.000599640377087511
"RSPH9",1,0,0.274298056155508,0.000577980584905563
"PRPS1",1,0,0.247563352826511,0.000557860633904743
"CTSF",1,0,0.257085020242915,0.000524265238057961
"EIF4B",1,0,0.246841593780369,0.000278806835598998
"ERLIN1",1,0,0.253240279162512,0.00025888385422997
"CACNA1A",1,0,0.243062200956938,0.000248224194167069
"APBA2",1,0,0.248289345063539,0.000240214724231483
"ASB1",1,0,0.231751824817518,0.000161781823599372
"CARNS1",1,0,0.228622862286229,0.000138175352692762
"TMEM268",1,0,0.234533702677747,0.000105031991483317
"NTNG2",1,0,0.234101382488479,0.000104867558245567
"CBR1",1,0,0.23302752293578,3.56320027365228e-05
"AIG1",1,0,0.226988382484361,3.51435334704775e-05
"CLCF1",1,0,0.229241877256318,2.57402263549419e-05
"GNS",1,0,0.227394807520143,2.30743776528901e-05
"ITFG1",1,0,0.215254237288136,1.23175915484272e-05
"ZNF365",1,0,0.204016064257028,5.17094730126654e-06
"FAM168B",1,0,0.188567186340015,2.93836601333197e-06
"SGSM2",1,0,0.197973499610288,2.01972458310507e-06
"SGSM1",1,0,0.197973499610288,2.01972458310341e-06
"RAB11FIP3",1,0,0.197973499610288,2.01972458309939e-06
"CNIH4",1,0,0.159447583176397,1.21089493804367e-08
"INPP5E",1,0,1,1.20930217236342e-18
"DGKD",1,0,1,1.09069521931691e-18
"NANS",1,0,1,0
"TPPP",1,0,1,0
"DHRS9",1,0,1,0
"GALM",1,0,1,0
"AGPAT3",1,0,1,0
"CNP",1,0,1,0
"PLCH2",1,0,1,0
"DHRS3",1,0,1,0
